Gene	Min	Max
DDX11L1	0.0	0.22206633540810913
WASH7P	0.9448299663516089	3.033865213397615
MIR6859-1	0.0	0.0
MIR1302-2HG	0.0	0.07617979912585351
FAM138A	0.0	0.0
OR4G4P	0.0	0.075237832611297
OR4G11P	0.0	0.10769041327554355
OR4F5	0.0	0.14158843140928076
RP11-34P13.7	0.0	0.4158192281616101
CICP27	0.0	0.8443583335395677
RP11-34P13.15	0.1330263276031236	7.080145978629491
RP11-34P13.16	0.2519262805432593	7.613745271477941
RP11-34P13.14	0.0	2.9449933408553286
RP11-34P13.13	0.048747038063309274	0.3546405957284363
RNU6-1100P	0.0	0.0
RP11-34P13.9	0.0	0.0
ABC7-43046700E7.1	0.0	2.2285693712510124
RP11-34P13.18	1.4225182815691402	4.1341469956369465
MIR6859-2	0.0	0.0
AP006222.2	0.150485590333213	1.2087731890581699
RPL23AP24	0.0	0.2581582812541063
RP5-857K21.15	0.0	0.0
RP4-669L17.2	0.0	0.05358835510099904
RP4-669L17.10	0.09913452932930834	1.78572630083588
WBP1LP7	0.0	0.16664603970480532
OR4F29	0.0	0.09511101694576099
CICP7	0.0	0.02206350989514272
RP4-669L17.8	0.0	0.4188915560074607
U6	0.0	0.0
RP5-857K21.4	0.012152158990733655	0.3922404769913403
RP5-857K21.2	0.0	0.0
MTND1P23	1.9619344279473259	4.32719153217901
MTND2P28	5.760029284210166	10.636497744797948
MTCO1P12	3.45470759154351	7.3893603043728815
MTCO2P12	2.2588535549689337	5.109745003958396
MTATP8P1	1.859802615170395	5.060665672597835
MTATP6P1	8.846107768514411	13.00622963846735
MTCO3P12	2.4316336562077696	5.647691541382425
WBP1LP6	0.0	0.10155635837733522
OR4F16	0.0	0.08000854331143888
RP11-206L10.17	0.0	0.0
CICP3	0.03785041566416037	0.46903781815355217
RP11-206L10.2	0.5374024324165266	3.697773819555186
RNU6-1199P	0.0	0.0
RP11-206L10.4	0.0	0.09773254416414952
RP11-206L10.9	0.1492346482402978	2.3322754182903025
RP11-206L10.8	0.37037634391525187	1.7583543507454122
FAM87B	0.10409037410556371	1.5458300218517398
LINC01128	0.859359751543416	4.6703474970457135
LINC00115	0.9845448749340286	3.7904592810502344
FAM41C	0.0	0.6390107632025647
TUBB8P11	0.04741833367293294	0.4603724735639211
FAM166AP3	0.0	0.1686651390310857
RP11-54O7.16	0.0	1.9707174751673529
RP11-54O7.1	0.03276679831830456	1.7354831850117505
RP11-54O7.2	0.0	0.0
RP11-54O7.3	0.04774818198935628	4.708976252781577
SAMD11	0.06500559957379423	5.098815348480245
NOC2L	3.9989987829780587	6.63902373317984
KLHL17	1.690712085891408	4.9908414365169955
PLEKHN1	0.12779569757623416	6.260735157918995
PERM1	0.12691287483245026	6.873554848183299
RP11-54O7.17	0.09640382130058744	4.24003950410364
HES4	1.1410926776681058	6.635007025620751
ISG15	2.680223072045616	9.258502436135354
RP11-54O7.10	0.0	0.5450570095102878
RP11-54O7.11	0.0	1.3323756817376906
AGRN	0.6556842971580266	6.620675843043166
RP11-465B22.3	0.12457972437320937	3.7952370589569493
RP11-54O7.18	0.0	2.581317499521648
RNF223	0.027631520116731822	5.095072050126916
C1orf159	1.2398868007957202	5.3963239206263465
LINC01342	0.03989008436608556	2.275531568516696
MIR200B	0.0	1.4690732548860201
MIR200A	0.0	1.3302772909079368
MIR429	0.0	2.0830703683793317
RP11-465B22.8	0.04910098532812363	5.935598824446984
TTLL10-AS1	0.02103846531384041	3.1917616076197075
TTLL10	0.04330208439933106	6.353222708379172
TNFRSF18	0.18578029810674965	5.082728132571561
TNFRSF4	0.15990039216215274	4.5989487403414735
SDF4	5.3379144250226505	8.032040215191374
B3GALT6	2.4378296241989745	4.949777696222384
C1QTNF12	0.5024833675465079	3.39724849907552
RP5-902P8.12	0.24548836109731395	1.188324957967429
UBE2J2	3.4196898946806535	6.577421274638798
LINC01786	0.629664362197007	4.7477901808309575
SCNN1D	1.1909940511283323	5.961137100727015
ACAP3	3.977994224184116	9.185861590992934
MIR6726	0.0	0.0
PUSL1	2.750143396147262	4.960609010909788
INTS11	4.375150671013182	7.106149374023534
MIR6727	0.0	0.0
RP5-890O3.9	2.0086804974377452	6.209759418462898
CPTP	3.5301581605017924	7.014567307145477
TAS1R3	0.23938948680566785	2.7660841388244215
DVL1	3.480704585861674	7.251633891564119
MIR6808	0.0	0.0
MXRA8	0.84826378045244	8.540232676200672
AURKAIP1	5.3670460032580944	8.569380959522295
NDUFB4P8	0.0	1.132287287585748
CCNL2	5.062605292982846	8.557069228059603
RP4-758J18.2	2.68363133508407	4.707806367243462
MRPL20	4.577857796078858	6.641002604101861
RP4-758J18.13	0.9503579215019405	4.158482452805134
ANKRD65	0.09063192927987458	5.017445383723104
RP4-758J18.7	0.0	3.130537204118727
TMEM88B	0.0	6.111792951137417
LINC01770	0.0	3.7651634167675523
VWA1	0.15447562828489744	7.628474703608245
ATAD3C	0.13464914959424673	3.3505368499338464
ATAD3B	2.907694433662571	5.5503373866275245
ATAD3A	2.5595040497523036	5.14426667387051
TMEM240	0.22000422815815676	5.9242068007778945
SSU72	4.592498897242286	6.223632991972738
RP5-832C2.5	0.23492677008819748	3.200289333050271
RP11-345P4.11	0.0	0.10289579537484819
FNDC10	0.3130019953978401	5.137323175597829
RP11-345P4.9	1.825223904821575	5.985101903624257
MIB2	3.6858168359076835	6.4062662415800675
MMP23B	0.04632844662148703	2.8804151782547853
CDK11B	3.548658560707693	5.973078546286689
RP11-345P4.10	0.0	0.4537156316490416
SLC35E2B	2.746239662291076	5.55361854325458
RP11-345P4.6	0.43318915152569115	2.924563602399059
MMP23A	0.0	1.596424743453916
CDK11A	2.7258458380604687	5.487055380170907
RP1-283E3.4	1.4485362678486986	4.228764828875598
SLC35E2	1.013247849565275	3.5562577288163157
NADK	3.347764855889297	6.828923482634605
GNB1	5.073267551253244	8.632162772744664
RP1-140A9.1	0.24086382278574983	3.546388270589978
CALML6	0.15776423076395288	2.9721945166060704
TMEM52	0.0975905717878241	6.412242954139941
CFAP74	0.008535422596069937	4.402988156044544
RP11-547D24.1	0.0	7.141146643296815
GABRD	0.03409215110602358	9.075265202942429
RP11-547D24.3	0.0	1.8619474263236329
PRKCZ	0.11046708159164577	6.6365332711314755
RP5-892K4.1	0.0	2.210940524349135
PRKCZ-AS1	0.4414377970576539	6.055080661032718
FAAP20	1.9259956219853307	4.581447664668037
RP11-181G12.4	0.0	1.2045727092056873
SKI	3.3715128629063122	7.884958061408616
MORN1	0.2631606361273768	4.211206928592899
RP4-713A8.1	0.0	3.8698516701324466
RP4-740C4.5	0.43282581821717564	4.977724113585163
RP4-740C4.7	0.267870140978287	6.02495568309303
RER1	4.156857700475751	6.838687097359225
PEX10	1.5956946068389204	5.110208708345765
PLCH2	0.12776664857173797	7.358554505220186
RP3-395M20.2	0.0	3.5036667545760194
RP3-395M20.3	0.0	3.642447431829056
PANK4	2.496429113269012	4.9449661755058
HES5	0.0	3.4979699615015765
RP3-395M20.12	0.3707434746875189	3.9750798543874866
RP3-395M20.8	0.19652017764216165	4.419397311689153
TNFRSF14	2.910502426238798	7.861483980304305
RP3-395M20.7	0.04446056923604831	1.7400251891259113
RP3-395M20.9	0.14318179919275986	4.071119078288412
FAM213B	1.0410607060379866	5.771460417225564
MMEL1	0.03412624856477251	5.168898720025469
RP13-436F16.1	0.0	1.4871570233091242
TTC34	0.04556360969191458	4.041050189401051
ABC14-1188822O7.1	0.0	2.1332511491063975
RP11-740P5.2	0.0	0.4963416725417756
RP11-740P5.3	0.0	1.9099266762780265
ACTRT2	0.0	8.53810743251883
LINC00982	0.04306335845094069	6.855404230921115
PRDM16	0.023657476331654635	5.2566521635611885
MIR4251	0.0	0.0
RP1-163G9.2	0.0	2.0885046000428646
RP11-193J6.1	0.0	0.42934815372372725
RP11-22L13.1	0.0	1.0937224195273683
ARHGEF16	0.035442189086728616	5.1769968835474725
RP11-168F9.2	0.0	1.2763835086505428
MEGF6	0.5519165944249683	7.358721520948023
MIR551A	0.0	0.0
RP11-46F15.2	0.3567827375421969	3.920731568983857
TPRG1L	4.841183142845585	7.352829132897785
WRAP73	3.0830141859808813	5.347927811835265
TP73	0.08048643973092175	4.215717419956403
RP5-1092A11.5	0.0	1.1990723730179373
RP5-1092A11.2	0.0	0.6543044641217812
TP73-AS1	1.6381294580859953	5.222889550216287
CCDC27	0.0	5.666620267802536
SMIM1	0.49072106644435665	5.545792344631555
LRRC47	2.9669250630060438	5.9010334024751785
RN7SL574P	0.0	2.2602063580105263
RP1-286D6.5	0.8662583719406013	4.284484520973164
CEP104	1.8687618214359083	4.4169950799258695
DFFB	1.3026232059792375	4.530276791119749
C1orf174	2.695363609596226	5.086851688038498
LINC01134	0.058258024556515464	3.1510226294125463
LINC01346	0.0	0.41140346615124324
LINC01345	0.0	1.9580148596692677
EEF1DP6	0.0	0.06308318814524273
LINC01777	0.0	2.6347558819103267
RP1-37J18.1	0.0	1.3023950957182
LINC01646	0.0	2.1014618277408506
AJAP1	0.010760364028692133	3.355358849513207
RP11-542C10.1	0.0	1.9655183426021772
RP1-58B11.1	0.0	1.5380563571310706
RP3-491M17.1	0.0	0.0
RP11-154H17.1	0.0	0.7913590035908205
MIR4417	0.0	0.0
MIR4689	0.0	0.0
NPHP4	1.3434362495062342	4.539233270866036
KCNAB2	1.0745328377186205	7.073916609640241
CHD5	0.060690744460103925	6.6216240738666485
RPL22	5.547588638059655	8.9751171230693
RP1-120G22.11	0.0	2.449083258230035
RNF207	0.3211649959685993	5.395929938688748
ICMT	2.4045625666963693	6.224887284628832
